League,Team,Performance_Axis,Game_Control_Axis,Average_salary(€m),Cluster_Label,Goals_scored/90,xG/90,Goals_conceded/90,xG_conceded/90,Shot_conversion_rate(%),Big_chances_conversion rate,Possession(%),Pass/90,Long_balls/90,Crosses/90,Clearances/90,Possession_won_midfield/90,Possession_won_attacking_3rd/90,Touches_in_opposition_box/90,Tackles/90,Interceptions/90,Saves/90
England,Leeds United,-0.6131921853965867,-1.0574259217860387,3.275277,Cluster 0,1.3,1.4,1.5,1.5,10.3,34.78260869565217,45.8,395.5919395465995,52.4173027989822,18.11320754716981,30.5,17.4,4.1,23.7,17.4,8.9,2.7
England,Liverpool,0.7640558481619317,2.8964554272518135,8.612481,Cluster 1,1.7,1.6,1.4,1.2,10.7,34.61538461538461,59.3,531.3885647607934,46.35761589403974,19.90950226244344,25.2,18.6,4.1,33.6,13.0,6.9,2.6
England,Manchester City,2.8268880125208624,4.234857860898673,11.017184,Cluster 1,2.0,1.9,0.9,1.2,13.0,40.625000000000014,60.5,588.0225988700564,38.56858846918489,16.417910447761194,21.6,19.4,4.6,37.1,14.4,7.9,2.4
England,Manchester United,1.2972908745448202,0.8278529323358264,8.062379,Cluster 2,1.8,1.7,1.3,1.3,11.6,37.93103448275862,51.8,465.3799758745476,49.673202614379086,16.849816849816847,25.0,20.3,3.4,27.6,18.2,8.6,2.4
England,Newcastle United,0.10668484393460975,0.9556863661131091,5.546083,Cluster 2,1.4,1.5,1.4,1.3,10.8,33.33333333333333,52.6,449.8798076923077,47.91666666666666,23.148148148148145,26.4,19.2,3.7,26.1,14.5,7.3,3.0
England,Nottingham Forest,-0.2648884592049396,-0.4943642996252053,4.228544,Cluster 0,1.3,1.2,1.3,1.5,10.1,44.44444444444444,46.8,408.2825822168088,51.17370892018779,21.69811320754717,25.6,17.5,3.8,22.2,16.9,7.9,2.9
England,Sunderland,-0.8763705595200231,-2.1023906581492984,3.689415,Cluster 3,1.1,1.0,1.3,1.4,10.6,35.29411764705882,44.9,375.1576292559899,52.083333333333336,16.315789473684212,30.5,15.6,3.1,20.1,15.4,7.9,3.1
England,Tottenham Hotspur,-0.6146648784279013,0.1063915408389623,5.025638,Cluster 2,1.3,1.1,1.5,1.4,11.0,36.8421052631579,50.4,413.7254901960785,49.01960784313726,20.247933884297524,26.6,18.7,3.9,24.3,19.6,8.4,2.4
England,West Ham United,-1.0691180823284467,-2.7947238257081835,3.652968,Cluster 0,1.2,1.2,1.7,1.6,11.4,36.8421052631579,42.5,367.8934010152284,53.1578947368421,16.894977168949772,29.0,15.3,3.3,20.3,17.7,9.1,3.5
England,Wolverhampton Wanderers,-3.040159573952959,-2.5464840206007135,3.727027,Cluster 0,0.7,0.9,1.8,1.6,7.3,35.71428571428571,42.7,363.52201257861634,51.715686274509814,18.30985915492958,28.9,15.9,2.6,19.9,19.1,8.5,2.9
France,Angers,-1.626895775312264,-2.1291685659890858,0.763233,Cluster 0,0.9,1.0,1.4,1.6,9.2,40.0,41.9,398.3050847457627,41.47982062780269,15.418502202643172,22.9,17.1,3.1,16.1,18.0,9.3,4.0
France,Auxerre,-1.1279223831112564,-1.8334545446210373,0.794367,Cluster 0,1.0,1.1,1.3,1.4,9.3,35.29411764705882,43.9,372.9763387297634,54.37352245862884,16.04938271604938,22.1,18.8,3.6,17.8,18.1,10.5,3.3
France,Brest,-0.589795698844998,-2.0077015896551473,1.391568,Cluster 0,1.3,1.3,1.6,1.5,11.3,36.363636363636374,43.4,376.2991128010139,59.493670886075954,16.22641509433962,25.9,17.2,4.7,18.4,18.3,10.5,3.0
France,Le Havre,-1.9226019996875194,-1.298659059400277,0.807361,Cluster 0,0.9,1.1,1.3,1.5,8.6,26.315789473684216,46.8,376.04938271604937,49.43310657596372,21.973094170403588,25.3,17.6,3.3,17.6,17.4,9.3,2.9
